CONARASII;Nombre Comuna;Codigo Tesorería
1101;ARICA;1
1106;CAMARONES;295
1201;IQUIQUE;2
1203;PICA;4
1204;POZO ALMONTE;5
1206;HUARA;3
1208;CAMINA;296
1210;COLCHANE;297
1211;ALTO HOSPICIO;347
1301;PUTRE;294
1302;GENERAL LAGOS;293
2101;TOCOPILLA;6
2103;MARIA ELENA;298
2201;ANTOFAGASTA;7
2202;TALTAL;9
2203;MEJILLONES;8
2206;SIERRA GORDA;299
2301;CALAMA;10
2302;OLLAGUE;300
2303;SAN PEDRO DE ATACAMA;301
3101;CHANARAL;11
3102;DIEGO DE ALMAGRO;12
3201;COPIAPO;13
3202;CALDERA;14
3203;TIERRA AMARILLA;15
3301;VALLENAR;16
3302;FREIRINA;17
3303;HUASCO;18
3304;ALTO DEL CARMEN;302
4101;LA SERENA;19
4102;LA HIGUERA;20
4103;COQUIMBO;21
4104;ANDACOLLO;22
4105;VICUNA;23
4106;PAIHUANO;24
4201;OVALLE;25
4203;MONTE PATRIA;26
4204;PUNITAQUI;27
4205;COMBARBALA;29
4206;RIO HURTADO;28
4301;ILLAPEL;30
4302;SALAMANCA;32
4303;LOS VILOS;33
4304;CANELA;31
5101;ISLA DE PASCUA;41
5201;LA LIGUA;59
5202;PETORCA;55
5203;CABILDO;56
5204;ZAPALLAR;58
5205;PAPUDO;57
5301;VALPARAISO;34
5302;VINA DEL MAR;37
5303;VILLA ALEMANA;39
5304;QUILPUE;38
5305;CASABLANCA;40
5306;QUINTERO;35
5307;PUCHUNCAVI;36
5308;JUAN FERNANDEZ;321
5309;CONCON;340
5401;SAN ANTONIO;42
5402;SANTO DOMINGO;43
5403;CARTAGENA;46
5404;EL TABO;47
5405;EL QUISCO;45
5406;ALGARROBO;44
5501;QUILLOTA;48
5502;NOGALES;52
5503;HIJUELAS;51
5504;LA CALERA;50
5505;LA CRUZ;49
5506;LIMACHE;53
5507;OLMUE;54
5601;SAN FELIPE;60
5602;PANQUEHUE;62
5603;CATEMU;63
5604;PUTAENDO;61
5605;SANTA MARIA;64
5606;LLAY-LLAY;65
5701;LOS ANDES;66
5702;CALLE LARGA;67
5703;SAN ESTEBAN;69
5704;RINCONADA;68
6101;RANCAGUA;105
6102;MACHALI;106
6103;GRANEROS;107
